14A040	310	310	292	296	226	226	286	286	198	206	270	270	158	166	248	256	360	372	243	243	342	342	209	213	254	278	250	250	164	168	213	217	265	265	240	240
14A041	310	322	296	296	222	230	298	298	206	238	274	274	158	162 	232	240	336	352	243	247	342	350	209	213	258	278	250	266	160	164	213	217	265	269	236	244
14A042	322	334	292	292	230	238	294	298	214	238	274	274	150	162	260	260	336	364	239	243	334	342	213	213	246	286	250	262	164	164	217	217	265	265	224	232
14A043	318	322	296	296	226	230 	294	294	198	206	270	270	166	170	248	248	360	364	247	251	342	350	213	213	254	278	270	270	172	172	217	217	265	265	240	244
14A044	310	310	296	296	230	234	302	302	198	206	270	270	166	166	240	240	368	372	235	247	342	342	209	209	254	278	266	270	164	172	213	213	265	265	236	244
14A045	310	310	296	296	226	230	286	286	206	210	270	270	158	166	240	240	360	372	243	243	342	342	209	209	254	278	266	270	164	164	213	213	265	265	236	240
14A046	318	322	292	292	226	230	286	294	198	198	270	270	154	166	256	256	364	372	235	247	342	342	213	213	254	278	262	270	172	172	217	217	265	265	240	244
14A047	306	310	296	296	234	246	294	294	246	254	274	274	146	162	240	240	336	336	239	247	334	338	209	209	258	274	250	250	164	168	213	213	265	265	236	240
14A048	310	310	296	296	218	240	286	294	206	242	270	270	150	158	240	240	336	336	219	243	334	342	209	209	230	254	254	254	164	164	213	213	269	269	216	256
17H030	306	310	296	296	222	234	294	298	238	254	274	274	146	158	232	232	336	336	247	247	338	342	209	209	234	258	250	250	160	168	213	213	269	269	236	244
17H060	310	310	296	296	222	234	294	298	238	254	274	274	146	162	232	232	336	352	239	243	338	342	209	209 	274	278	250	266	160	164	213	213	269	269	236	244
14A018	306	314	292	292	230	242	294	294	198	206	274	274	150	154	252	260	336	336	239	247	350	358	209	209	222	246	250	258	160	172	213	213	261	265	228	240
14A037	310	314	292	292	234	234	286	294	206	234	270	270	158	166	240	256	336	372	251	255	346	346	213	213	254	278	250	266	164	172	217	217	265	265	224	236
14A038	310	322	292	292	230	234	294	294	206	234	270	270	166	166	240	256	336	372	251	255	346	346	213	213	278	290	250	266	172	176	217	217	265	265	236	244
14A039	322	322	292	296	230	230	294	294	210	210	270	278	166	166	248	248	372	372	239	239	342	350	213	213	254	278	262	266	164	172	217	217	261	265	236	240
